Nacionalnost,Spol,Broj Osoba
UKUPNO,u,4284889
UKUPNO,m,2066335
UKUPNO,z,2218554
Hrvati,u,3874321
Hrvati,m,1866526
Hrvati,z,2007795
Albanci,u,17513
Albanci,m,9746
Albanci,z,7767
Austrijanci,u,297
Austrijanci,m,159
Austrijanci,z,138
Bošnjaci,u,31479
Bošnjaci,m,16709
Bošnjaci,z,14770
Bugari,u,350
Bugari,m,142
Bugari,z,208
Crnogorci,u,4517
Crnogorci,m,2456
Crnogorci,z,2061
Česi,u,9641
Česi,m,4448
Česi,z,5193
Mađari,u,14048
Mađari,m,6300
Mađari,z,7748
Makedonci,u,4138
Makedonci,m,1868
Makedonci,z,2270
Nijemci,u,2965
Nijemci,m,1502
Nijemci,z,1463
Poljaci,u,672
Poljaci,m,137
Poljaci,z,535
Romi,u,16975
Romi,m,8542
Romi,z,8433
Rumunji,u,435
Rumunji,m,151
Rumunji,z,284
Rusi,u,1279
Rusi,m,244
Rusi,z,1035
Rusini,u,1936
Rusini,m,915
Rusini,z,1021
Slovaci,u,4753
Slovaci,m,2216
Slovaci,z,2537
Slovenci,u,10517
Slovenci,m,3346
Slovenci,z,7171
Srbi,u,186633
Srbi,m,91139
Srbi,z,95594
Talijani,u,17807
Talijani,m,8370
Talijani,z,9437
Turci,u,367
Turci,m,216
Turci,z,151
Ukrajinci,u,1878
Ukrajinci,m,741
Ukrajinci,z,1137
Vlasi,u,29
Vlasi,m,20
Vlasi,z,9
Židovi,u,509
Židovi,m,260
Židovi,z,249
Ostali,u,8052
Ostali,m,4202
Ostali,z,3850
